,Dominant_Topic,Perc_Contribution,Topic_Keywords,CONTENT_TX
0,3,0.5146,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",优惠赠送的福利没有清楚地标明堂食和外送，店员也不是很清楚条款，所以容易混淆。
1,9,0.775,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",鸡米花不好吃
2,6,0.5523,"没, 挺, 东西, 店, 经理, 时间, 厕所, 还要, 店里, 完",要是有点凳子就更好了
3,8,0.8503,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",崩溃了，回家吃的时候才发现少一样。
4,8,0.42,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",服务好 速度快
5,6,0.7062,"没, 挺, 东西, 店, 经理, 时间, 厕所, 还要, 店里, 完",人多了，东西质量没办法保证。
6,5,0.758,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",该店服务态度很好，持别一位叫曾容服务员热情的帮助解决困难，非常感谢
7,9,0.7,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",好好好好
8,5,0.3667,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很亲切
9,7,0.514,"还, 点, 肯德基, 咖啡, 帮, 套餐, 下单, 餐点, 美味, 好喝",原本想提前下单 到了可以直接提走，可到了之后根本还没有配单
10,3,0.1001,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",量少价贵
11,9,0.8273,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",东西越来越小  价格越来越贵  60块吃不饱 我只能呵呵一笑
12,5,0.3667,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",挺好的
13,1,0.8206,"鸡翅, 味道, 再, 特别, 鸡腿, 周到, 可乐, 问, 看, 棒",可乐味道特别奇怪，跟加了自来水一样
14,6,0.3667,"没, 挺, 东西, 店, 经理, 时间, 厕所, 还要, 店里, 完",没给勺子
15,2,0.3701,"原味, 态度, 鸡, 太, 差, 鸡块, 用餐, 主动, 2, 老",饮料少放点糖
16,5,0.55,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",没有热情
17,5,0.62,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很好！一如既往的好！
18,0,0.586,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",产区服务人员做汉堡不戴手套，而且地面脏乱差
19,2,0.62,"原味, 态度, 鸡, 太, 差, 鸡块, 用餐, 主动, 2, 老",只有一个点餐实在太慢
20,5,0.2752,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",小龙虾好好吃
21,9,0.42,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",热柠檬红茶是冷的
22,2,0.3002,"原味, 态度, 鸡, 太, 差, 鸡块, 用餐, 主动, 2, 老",积分用起来太麻烦，能否像淘宝点自己喜欢的食品后用分抵
23,5,0.775,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很好，不错。
24,9,0.7,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",薯条太咸啦
25,9,0.4436,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",手机点餐，显示屏不同步显示！有点乱
26,3,0.5312,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",哈哈哈哈
27,5,0.8503,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务态度很好很好，新年快乐嘻嘻
28,5,0.8503,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务员蛮热情，新年新气象棒棒哒
29,8,0.525,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",满意超级好
30,5,0.3667,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",好，超好
